pmid,mention,entity_type,tier,note
4282831,rheumatic disease,disease,Tier1_agree,
4282831,diffuse collagen diseases,disease,Tier1_agree,
4282831,congenital heart disease,disease,Tier1_agree,
4282831,diabetes mellitus,disease,Tier1_agree,
4282831,retardation of growth,clinical_outcome,Tier1_agree,
4282831,complications,clinical_outcome,Tier3_single_yuqi,
4282831,rheumatic disease,disease,Tier3_single_yuefei,
4371445,juvenile diabetes mellitus,disease,Tier1_agree,
4371445,viral-like illnesses,disease,Tier1_agree,
4371445,coxsackie B-3,biomarker,Tier2_type_disagree_yuqi,
4371445,coxsackie B-3,disease,Tier2_type_disagree_yuefei,
4371445,viral antigens,biomarker,Tier2_type_disagree_yuqi,
4371445,viral infection,disease,Tier2_type_disagree_yuefei,
1158036,insulin-dependent diabetes mellitus,disease,Tier1_agree,
1158036,ketoacidosis,disease,Tier1_agree,
1158036,hyperglycemia,biomarker,Tier3_single_yuqi,
1158036,glucose,chemical,Tier1_agree,
1158036,glycerol,chemical,Tier1_agree,
1158036,pyruvate,chemical,Tier1_agree,
1158036,renal substrate exchange,biological_process,Tier1_agree,
1158036,renal glucose production,biological_process,Tier3_single_yuqi,
1158036,renal amino acid exchange,biological_process,Tier3_single_yuqi,
1158036,gluconeogenesis,biological_process,Tier3_single_yuqi,
1158036,Insulin,drug,Tier3_single_yuefei,
1158036,glutamine,chemical,Tier3_single_yuefei,
1158036,glycine,chemical,Tier3_single_yuefei,
1158036,proline,chemical,Tier3_single_yuefei,
1158036,citrulline,chemical,Tier3_single_yuefei,
1158036,serine,chemical,Tier3_single_yuefei,
1158036,alanine,chemical,Tier3_single_yuefei,
1158036,cystine,chemical,Tier3_single_yuefei,
1158036,tyrosine,chemical,Tier3_single_yuefei,
1158036,threonine,chemical,Tier3_single_yuefei,
1158036,kidney,cell_type,Tier3_single_yuefei,
1166797,diabetes,disease,Tier1_agree,
1166797,beef-pork insulin,protein,Tier2_type_disagree_yuqi,
1166797,beef-pork insulin,drug,Tier2_type_disagree_yuefei,
1166797,pork insulin,protein,Tier2_type_disagree_yuqi,
1166797,pork insulin,drug,Tier2_type_disagree_yuefei,
1166797,monocomponent insulin,protein,Tier2_type_disagree_yuqi,
1166797,monocomponent insulin,drug,Tier2_type_disagree_yuefei,
1166797,systemic allergic reaction,clinical_outcome,Tier1_agree,
1166797,peripheral blood lymphocytes,cell_type,Tier1_agree,
1166797,blast cell transformation,biological_process,Tier1_agree,
1166797,insulin allergy,disease,Tier2_type_disagree_yuqi,
1166797,insulin,drug,Tier2_type_disagree_yuefei,
1166797,systemic desensitization,drug,Tier3_single_yuefei,
1166797,local allergic reactions,clinical_outcome,Tier3_single_yuefei,
1166797,insulin allergy,disease,Tier3_single_yuefei,
54584,diabetes mellitus,disease,Tier1_agree,
54584,diabetic ketoacidosis,disease,Tier1_agree,
54584,acute abdomen,disease,Tier1_agree,
54584,polydipsia,clinical_outcome,Tier1_agree,
54584,polyuria,clinical_outcome,Tier1_agree,
54584,anorexia,clinical_outcome,Tier1_agree,
54584,abdominal pain,clinical_outcome,Tier1_agree,
54584,severe dehydration,clinical_outcome,Tier1_agree,
331372,necrobiosis lipoidica diabeticorum,disease,Tier1_agree,
331372,lesions,disease,Tier3_single_yuqi,
331372,recurrences,clinical_outcome,Tier1_agree,
331372,surgical excision,drug,Tier3_single_yuefei,
331372,ligation of the associated perforating blood vessels,drug,Tier3_single_yuefei,
331372,split-skin grafts,drug,Tier3_single_yuefei,
334498,Islet-cell antibodies,biomarker,Tier1_agree,
334498,juvenile diabetes mellitus,disease,Tier1_agree,
334498,endocrine-islet cells,cell_type,Tier1_agree,
334498,islet antigens,biomarker,Tier2_type_disagree_yuqi,
334498,islet cells,cell_type,Tier2_type_disagree_yuefei,
334498,HLA B8,gene,Tier1_agree,
334498,antibody formation,biological_process,Tier3_single_yuqi,
334498,insulin antibody,biomarker,Tier1_agree,
334498,auto-immune pathogenesis,biological_process,Tier1_agree,
353557,islet-cell-surface antibodies,biomarker,Tier1_agree,
353557,juvenile diabetes,disease,Tier1_agree,
353557,islet cells,cell_type,Tier1_agree,
353557,glucose intolerance,clinical_outcome,Tier2_type_disagree_yuqi,
353557,glucose intolerance,disease,Tier2_type_disagree_yuefei,
353557,thyroid disorders,disease,Tier1_agree,
353557,diabetes mellitus,disease,Tier1_agree,
353557,insulin,drug,Tier3_single_yuefei,
353557,rat hepatocytes,cell_type,Tier3_single_yuefei,
353557,erythrocytes,cell_type,Tier3_single_yuefei,
353557,immunofluorescent reaction,biomarker,Tier3_single_yuefei,
676730,diabetes,disease,Tier1_agree,
676730,insulin,protein,Tier2_type_disagree_yuqi,
676730,insulin,drug,Tier2_type_disagree_yuefei,
676730,endogenous insulin production,biological_process,Tier1_agree,
676730,height increment,biomarker,Tier2_type_disagree_yuqi,
676730,height increment,clinical_outcome,Tier2_type_disagree_yuefei,
676730,weight development,clinical_outcome,Tier3_single_yuqi,
676730,insulin requirements,clinical_outcome,Tier3_single_yuefei,
676730,daily dose of insulin,clinical_outcome,Tier3_single_yuefei,
676730,duration of diabetes,clinical_outcome,Tier3_single_yuefei,
676730,growth spurt,biological_process,Tier3_single_yuefei,
676730,adult stature,clinical_outcome,Tier3_single_yuefei,
395097,insulin-dependent diabetes,disease,Tier1_agree,
395097,glucagon,protein,Tier1_agree,
395097,growth hormone,protein,Tier1_agree,
395097,cortisol,protein,Tier1_agree,
395097,glucagon secretion,biological_process,Tier1_agree,
395097,growth hormone secretion,biological_process,Tier1_agree,
395097,cortisol secretion,biological_process,Tier1_agree,
395097,normoglycemia,biomarker,Tier2_type_disagree_yuqi,
395097,normoglycemia,clinical_outcome,Tier2_type_disagree_yuefei,
395097,endocrine abnormalities,clinical_outcome,Tier3_single_yuqi,
395097,subcutaneous insulin therapy,drug,Tier3_single_yuefei,
395097,artificial endocrine pancreas (Biostator-GCIIS),drug,Tier3_single_yuefei,
395097,blood glucose normalization,biological_process,Tier3_single_yuefei,
535578,diabetes mellitus,disease,Tier1_agree,
535578,juvenile diabetes,disease,Tier1_agree,
535578,maturity onset diabetes,disease,Tier1_agree,
535578,polyneuropathy,disease,Tier1_agree,
535578,nerve conduction velocity,biomarker,Tier2_type_disagree_yuqi,
535578,nerve conduction velocities,clinical_outcome,Tier2_type_disagree_yuefei,
535578,distal latency,biomarker,Tier2_type_disagree_yuqi,
535578,distal latencies,clinical_outcome,Tier2_type_disagree_yuefei,
535578,impaired peripheral nerve function,clinical_outcome,Tier1_agree,
535578,lipid metabolism,biological_process,Tier1_agree,
535578,metabolic balance,biological_process,Tier3_single_yuqi,
535578,body weight,clinical_outcome,Tier3_single_yuefei,
7418963,juvenile-onset insulin-dependent diabetes,disease,Tier1_agree,
7418963,HLA B8,gene,Tier1_agree,
7418963,HLA B14,gene,Tier1_agree,
7418963,HLA antigens,gene,Tier3_single_yuefei,
6751735,diabetes mellitus,disease,Tier1_agree,
6751735,symptomatic hypoglycemia,disease,Tier1_agree,
6751735,severe symptomatic hypoglycemia,disease,Tier3_single_yuqi,
6751735,insulin,protein,Tier2_type_disagree_yuqi,
6751735,insulin,drug,Tier2_type_disagree_yuefei,
6751735,blood glucose,biomarker,Tier2_type_disagree_yuqi,
6751735,blood glucose control,clinical_outcome,Tier2_type_disagree_yuefei,
6751735,hemoglobin A1c,biomarker,Tier1_agree,
6751735,insulin dose,clinical_outcome,Tier3_single_yuefei,
6751735,duration of diabetes,clinical_outcome,Tier3_single_yuefei,
7033091,non insulin-dependent diabetes mellitus (NIDDM),disease,Tier1_agree,
7033091,verapamil,drug,Tier1_agree,
7033091,glucagon,drug,Tier1_agree,
7033091,saline,drug,Tier1_agree,
7033091,insulin,protein,Tier1_agree,
7033091,glucose,chemical,Tier2_type_disagree_yuqi,
7033091,the glucose response in the patients with NIDDM,biological_process,Tier2_type_disagree_yuefei,
7033091,hepatic glucose handling,biological_process,Tier3_single_yuqi,
7033091,insulin release,biological_process,Tier3_single_yuqi,
7033091,glucose response to glucagon,clinical_outcome,Tier2_type_disagree_yuqi,
7033091,the glucose response in the controls,biological_process,Tier2_type_disagree_yuefei,
7033091,serum insulin response to glucagon,clinical_outcome,Tier3_single_yuqi,
6308982,non-insulin-dependent diabetes mellitus,disease,Tier1_agree,
6308982,metformin,drug,Tier1_agree,
6308982,serum concentrations of metformin,biomarker,Tier3_single_yuefei,
7091092,transient neonatal diabetes mellitus,disease,Tier1_agree,
7091092,diabetic ketoacidosis,disease,Tier1_agree,
7091092,type I insulin-dependent diabetes mellitus,disease,Tier1_agree,
7091092,diabetic coma,disease,Tier1_agree,
7091092,insulin,protein,Tier2_type_disagree_yuqi,
7091092,insulin-dependent diabetes,disease,Tier2_type_disagree_yuefei,
7091092,glycosuria,biomarker,Tier2_type_disagree_yuqi,
7091092,glycosuria,disease,Tier2_type_disagree_yuefei,
7091092,type I insulin-dependent diabetes mellitus,disease,Tier3_single_yuefei,
6357915,insulin,protein,Tier2_type_disagree_yuqi,
6357915,insulin,drug,Tier2_type_disagree_yuefei,
6357915,glucose,chemical,Tier1_agree,
6357915,glucose utilization,biological_process,Tier1_agree,
6357915,glucose uptake,biological_process,Tier1_agree,
6357915,Type 1 diabetes,disease,Tier1_agree,
6357915,euglycaemia,biomarker,Tier2_type_disagree_yuqi,
6357915,euglycaemia,clinical_outcome,Tier2_type_disagree_yuefei,
6357915,hyperglycaemia,biomarker,Tier2_type_disagree_yuqi,
6357915,hyperglycaemia,clinical_outcome,Tier2_type_disagree_yuefei,
6357915,free insulin levels,biomarker,Tier3_single_yuefei,
6357915,plasma insulin,biomarker,Tier3_single_yuefei,
6357915,blood glucose,biomarker,Tier3_single_yuefei,
6634559,insulin-dependent diabetes,disease,Tier1_agree,
6634559,thromboplastin time,biomarker,Tier3_single_yuqi,
6634559,partial thromboplastin time,biomarker,Tier3_single_yuqi,
6634559,bleeding time,biomarker,Tier3_single_yuqi,
6634559,spontaneous fibrinolytic activity,biomarker,Tier3_single_yuqi,
6634559,thrombocytes,cell_type,Tier3_single_yuqi,
6634559,platelet aggregation,biological_process,Tier3_single_yuqi,
6634559,haemostasis,biological_process,Tier3_single_yuqi,
6634559,blood sugar,biomarker,Tier3_single_yuqi,
6634559,thrombophilia,disease,Tier3_single_yuqi,
6634559,atherogenesis,biological_process,Tier3_single_yuqi,
6634559,senile dementia,disease,Tier3_single_yuefei,
6634559,nocturnal hypoglycaemia,disease,Tier3_single_yuefei,
6634559,subcutaneous insulin,drug,Tier3_single_yuefei,
6634559,blood glucose,biomarker,Tier3_single_yuefei,
6634559,Intramuscular,drug,Tier3_single_yuefei,
6634559,intravenous routes produced,drug,Tier3_single_yuefei,
6205922,type I diabetes,disease,Tier1_agree,
6205922,insulin,protein,Tier2_type_disagree_yuqi,
6205922,regular insulin,drug,Tier2_type_disagree_yuefei,
6205922,hypoglycemia,disease,Tier1_agree,
6205922,blood glucose,biomarker,Tier1_agree,
6205922,beta-thromboglobulin,biomarker,Tier1_agree,
6205922,pancreatic glucagon,protein,Tier1_agree,
6205922,cortisol,protein,Tier1_agree,
6205922,growth hormone,protein,Tier1_agree,
6205922,platelet activation,biological_process,Tier1_agree,
6205922,insulin,drug,Tier3_single_yuefei,
4060795,insulin-dependent diabetes,disease,Tier1_agree,
4060795,thromboplastin time,biomarker,Tier2_type_disagree_yuqi,
4060795,thromboplastin time,clinical_outcome,Tier2_type_disagree_yuefei,
4060795,partial thromboplastin time,biomarker,Tier2_type_disagree_yuqi,
4060795,partial thromboplastin time,clinical_outcome,Tier2_type_disagree_yuefei,
4060795,bleeding time,biomarker,Tier2_type_disagree_yuqi,
4060795,bleeding time,clinical_outcome,Tier2_type_disagree_yuefei,
4060795,spontaneous fibrinolytic activity,biomarker,Tier2_type_disagree_yuqi,
4060795,spontaneous fibrinolytic activity,biological_process,Tier2_type_disagree_yuefei,
4060795,thrombocytes,cell_type,Tier2_type_disagree_yuqi,
4060795,number of thrombocytes,clinical_outcome,Tier2_type_disagree_yuefei,
4060795,platelet aggregation,biological_process,Tier3_single_yuqi,
4060795,haemostasis,biological_process,Tier1_agree,
4060795,blood sugar,biomarker,Tier1_agree,
4060795,thrombophilia,disease,Tier1_agree,
4060795,atherogenesis,biological_process,Tier1_agree,
4060795,aggregation of platelets,biological_process,Tier3_single_yuefei,
4060795,intake of food,biomarker,Tier3_single_yuefei,
4060795,fasting,biomarker,Tier3_single_yuefei,
2947878,Down's syndrome,disease,Tier1_agree,
2947878,insulin-dependent diabetes mellitus,disease,Tier1_agree,
2947878,hypothyroidism,disease,Tier1_agree,
2947878,autoimmune diseases,disease,Tier1_agree,
2947878,gastric parietal cell antibodies,biomarker,Tier1_agree,
2947878,chronic atrophic gastritis,disease,Tier1_agree,
2947878,thyroid function,biomarker,Tier3_single_yuqi,
3945267,Type I diabetes,disease,Tier1_agree,
3945267,retinopathy,disease,Tier1_agree,
3945267,nephropathy,disease,Tier1_agree,
3945267,arterial stiffness,disease,Tier1_agree,
3945267,joint stiffness,disease,Tier1_agree,
3945267,diabetic complications,disease,Tier1_agree,
3945267,collagen,protein,Tier2_type_disagree_yuqi,
3945267,collagen-linked fluorescence,biological_process,Tier2_type_disagree_yuefei,
3945267,nonenzymatically glycosylated proteins,protein,Tier1_agree,
3945267,cross-linked protein adducts,protein,Tier1_agree,
3945267,glucose,chemical,Tier3_single_yuqi,
3945267,nonenzymatic protein browning,biological_process,Tier1_agree,
3945267,collagen-linked fluorescence,biomarker,Tier3_single_yuqi,
3945267,long-term metabolic control,clinical_outcome,Tier3_single_yuqi,
3945267,duration of diabetes,clinical_outcome,Tier3_single_yuqi,
3945267,systolic blood pressure,clinical_outcome,Tier2_type_disagree_yuqi,
3945267,systolic blood pressure,biological_process,Tier2_type_disagree_yuefei,
3945267,diastolic blood pressure,clinical_outcome,Tier2_type_disagree_yuqi,
3945267,diastolic blood pressure,biological_process,Tier2_type_disagree_yuefei,
3669177,Penile necrosis,disease,Tier1_agree,
3272815,insulin-dependent diabetes mellitus,disease,Tier1_agree,
3272815,immunological diseases,disease,Tier1_agree,
3272815,HLA-DR1,gene,Tier1_agree,
3272815,HLA-B18,gene,Tier3_single_yuqi,
3272815,HLA-DR3,gene,Tier1_agree,
3272815,exogenous insulin,protein,Tier2_type_disagree_yuqi,
3272815,exogenous insulin,drug,Tier2_type_disagree_yuefei,
3272815,insulin antibody,protein,Tier1_agree,
3272815,humoral immune response,biological_process,Tier1_agree,
3272815,HLA antigens,gene,Tier3_single_yuefei,
3272815,immunological spontaneous disorder,disease,Tier3_single_yuefei,
2688138,insulin-dependent diabetes,disease,Tier1_agree,
2688138,NovoPen,drug,Tier2_type_disagree_yuefei,
2688138,human actrapid insulin,protein,Tier2_type_disagree_yuqi,
2688138,human actrapid insulins,drug,Tier2_type_disagree_yuefei,
2688138,human ultratard insulin,protein,Tier2_type_disagree_yuqi,
2688138,human ultratard insulin,drug,Tier2_type_disagree_yuefei,
2688138,haemoglobin A1c,biomarker,Tier1_agree,
2688138,metabolic control,clinical_outcome,Tier1_agree,
2688138,insulin-dependent diabetic,disease,Tier3_single_yuefei,
2688138,intensified insulin therapy,drug,Tier3_single_yuefei,
2688138,short-acting insulin,drug,Tier3_single_yuefei,
2789462,insulin autoantibodies (IAAs),biomarker,Tier1_agree,
2789462,type I diabetes mellitus,disease,Tier1_agree,
2789462,type II diabetes mellitus,disease,Tier3_single_yuqi,
2789462,HLA-DR3,gene,Tier1_agree,
2789462,HLA-DR4,gene,Tier1_agree,
2789462,islet cell antibodies (ICAs),biomarker,Tier1_agree,
2789462,human insulin,protein,Tier1_agree,
2789462,type II DM,disease,Tier3_single_yuefei,
2789462,insulin binding,biological_process,Tier3_single_yuefei,
2124448,arterial hypertension,disease,Tier1_agree,
2124448,dysautonomia,disease,Tier1_agree,
2124448,orthostatic hypotension,disease,Tier1_agree,
2124448,diabetic dysautonomia,disease,Tier3_single_yuqi,
2124448,diabetic nephropathy,disease,Tier1_agree,
2124448,ambulatory blood pressure recording,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
2124448,ambulatory blood pressure (BP),clinical_outcome,Tier2_type_disagree_yuefei,
2124448,blood pressure,biomarker,Tier3_single_yuqi,
2124448,haemoglobin A1c,biomarker,Tier3_single_yuqi,
2124448,heart rate,biomarker,Tier2_type_disagree_yuqi,
2124448,heart rate,clinical_outcome,Tier2_type_disagree_yuefei,
2124448,nocturnal blood pressure decline,biomarker,Tier2_type_disagree_yuqi,
2124448,nocturnal decline in BP,clinical_outcome,Tier2_type_disagree_yuefei,
2124448,central degenerative disorder,disease,Tier3_single_yuefei,
2124448,HBA1c,biomarker,Tier3_single_yuefei,
2203875,non-insulin-dependent diabetes mellitus (NIDDM),disease,Tier1_agree,
2203875,insulin-dependent diabetes mellitus (IDDM),disease,Tier1_agree,
2203875,postprandial blood glucose,biomarker,Tier1_agree,
2203875,spaghetti,chemical,Tier3_single_yuqi,
2203875,mixed meal,chemical,Tier2_type_disagree_yuqi,
2203875,the mixed meal,drug,Tier2_type_disagree_yuefei,
2203875,insulin,protein,Tier2_type_disagree_yuqi,
2203875,insulin levels,biomarker,Tier2_type_disagree_yuefei,
2203875,glycaemic response,biomarker,Tier2_type_disagree_yuqi,
2203875,insulinaemic response,clinical_outcome,Tier2_type_disagree_yuefei,
2203875,insulinaemic response,biomarker,Tier3_single_yuqi,
2203875,artificial pancreas (Biostator),drug,Tier2_type_disagree_yuefei,
2203875,normoglycaemia,biomarker,Tier2_type_disagree_yuqi,
2203875,normoglycaemia,clinical_outcome,Tier2_type_disagree_yuefei,
1788205,insulin-dependent diabetes mellitus,disease,Tier1_agree,
1788205,non-insulin-dependent diabetes mellitus,disease,Tier1_agree,
1788205,diabetes mellitus,disease,Tier3_single_yuqi,
1788205,circulatory insufficiency,disease,Tier1_agree,
1788205,myocardial perfusion disorder,disease,Tier2_type_disagree_yuqi,
1788205,myocardial perfusion,biological_process,Tier2_type_disagree_yuefei,
1788205,metabolic derangements,disease,Tier2_type_disagree_yuqi,
1788205,metabolic derangements,biological_process,Tier2_type_disagree_yuefei,
1788205,thallium-201 (201Tl),chemical,Tier2_type_disagree_yuqi,
1788205,201Tl,drug,Tier2_type_disagree_yuefei,
1788205,myocardial perfusion,biological_process,Tier1_agree,
1788205,myocardial reserve,biological_process,Tier3_single_yuqi,
1788205,cardiac oxygen supply,biological_process,Tier3_single_yuqi,
1788205,physical working capacity,clinical_outcome,Tier2_type_disagree_yuqi,
1788205,physical working capacity,biological_process,Tier2_type_disagree_yuefei,
1788205,GTT decrease,clinical_outcome,Tier2_type_disagree_yuqi,
1788205,GTT,biological_process,Tier2_type_disagree_yuefei,
1788205,stable perfusion defects,clinical_outcome,Tier2_type_disagree_yuqi,
1788205,stable perfusion defects,disease,Tier2_type_disagree_yuefei,
1788205,transient ischemic perfusion defects,clinical_outcome,Tier2_type_disagree_yuqi,
1788205,transient perfusion defects,disease,Tier2_type_disagree_yuefei,
1788205,maximum myocardial Tl uptake,clinical_outcome,Tier3_single_yuqi,
1788205,noninsulin dependent diabetes,disease,Tier3_single_yuefei,
1788205,disturbed oxygen supply of the heart,biological_process,Tier3_single_yuefei,
1788205,disorder of perfusion,disease,Tier3_single_yuefei,
1788205,maximum Tl uptake by the myocardium,biological_process,Tier3_single_yuefei,
2019226,non-insulin-dependent diabetes mellitus (NIDDM),disease,Tier1_agree,
2019226,exercise,biological_process,Tier2_type_disagree_yuqi,
2019226,exercise,drug,Tier2_type_disagree_yuefei,
2019226,exercise relapse,biological_process,Tier3_single_yuqi,
2019226,guilt,clinical_outcome,Tier3_single_yuqi,
1595513,insulin-dependent diabetes mellitus,disease,Tier1_agree,
1595513,noninsulin-dependent diabetes mellitus,disease,Tier1_agree,
1595513,insulin,protein,Tier2_type_disagree_yuqi,
1595513,insulin,drug,Tier2_type_disagree_yuefei,
1595513,sulfonylurea,drug,Tier1_agree,
1595513,hyperglycemia,biomarker,Tier2_type_disagree_yuqi,
1595513,hyperglycemia,disease,Tier2_type_disagree_yuefei,
1595513,continuous subcutaneous insulin infusion,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
1595513,Continuous subcutaneous insulin infusion,drug,Tier2_type_disagree_yuefei,
1595513,intermediate-acting insulin,drug,Tier3_single_yuefei,
1595513,regular insulin,drug,Tier3_single_yuefei,
1595513,ultralente insulin,drug,Tier3_single_yuefei,
1595513,NPH,drug,Tier3_single_yuefei,
1604625,pancreaticoduodeno-renal transplantation,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
1604625,pancreaticoduodeno-renal transplant,drug,Tier2_type_disagree_yuefei,
1604625,graft pancreatitis,disease,Tier1_agree,
1604625,pancreatic fistula,disease,Tier1_agree,
1604625,ascitis,disease,Tier1_agree,
1604625,graft function,clinical_outcome,Tier3_single_yuqi,
1604625,vesical catheter drainage,drug,Tier3_single_yuefei,
1604625,Anastomosis,drug,Tier3_single_yuefei,
1604625,duodenocystostomy,drug,Tier3_single_yuefei,
8405757,Type 1 diabetes mellitus,disease,Tier1_agree,
8405757,polyunsaturated fatty acids,chemical,Tier1_agree,
8405757,saturated fatty acids,chemical,Tier1_agree,
8405757,docosahexaenoic acid (DHA),chemical,Tier1_agree,
8405757,arachidonic acid,chemical,Tier1_agree,
8405757,HbA1c,biomarker,Tier1_agree,
8405757,Na+-K+ ATPase,protein,Tier2_type_disagree_yuqi,
8405757,Na+-K+ ATPase activity,biological_process,Tier2_type_disagree_yuefei,
8405757,metabolic control,clinical_outcome,Tier1_agree,
8405757,Type 1 (insulin-dependent) diabetic,disease,Tier3_single_yuefei,
8405757,erythrocyte membrane phospholipids,chemical,Tier3_single_yuefei,
8405757,C22:6(n-3),chemical,Tier3_single_yuefei,
8405757,total n-3 content,chemical,Tier3_single_yuefei,
8405757,C-peptide,biomarker,Tier3_single_yuefei,
8405757,fructosamine,biomarker,Tier3_single_yuefei,
8405757,sodium transport systems,biological_process,Tier3_single_yuefei,
8405757,cell membrane abnormalities,disease,Tier3_single_yuefei,
8012161,type 1 diabetes mellitus,disease,Tier3_single_yuqi,
8012161,autonomic cardiac neuropathy,disease,Tier1_agree,
8012161,alcoholic nerve damage,disease,Tier1_agree,
8012161,cardiovascular reflex tests,biological_process,Tier3_single_yuqi,type merged from medical_procedure
8012161,type 1 (insulin-dependent) diabetics,disease,Tier3_single_yuefei,
8012161,alcohol abuse,disease,Tier3_single_yuefei,
7566857,insulin-dependent diabetes,disease,Tier1_agree,
7566857,respiratory distress syndrome (RDS),disease,Tier1_agree,
7566857,TDx-FLM assay,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
7566857,TDx-FLM,biomarker,Tier2_type_disagree_yuefei,
7566857,transabdominal amniocentesis,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
7566857,transabdominal amniocentesis,drug,Tier2_type_disagree_yuefei,
7566857,surfactant,chemical,Tier3_single_yuqi,
7566857,albumin,protein,Tier3_single_yuqi,
7566857,phosphatidylglycerol,biomarker,Tier1_agree,
