pmid,pubmed_url,year,title,journal,abstract,keywords,mesh_terms,publication_types,entities,relations
1604625,https://pubmed.ncbi.nlm.nih.gov/1604625/,1992,Duct-enterostomy as a treatment of pancreatic fistula in a bladder-drained pancreas transplant.,Transplantation proceedings,"A case of combined pancreaticoduodeno-renal transplant with good graft function was complicated by recurrent episodes of graft pancreatitis treated by vesical catheter drainage. Four months after transplantation, a fistula from the pancreatic body associated with ascitis was identified. Anastomosis between pancreatic fistula and an individualized jejunal loop was performed. The duodenocystostomy was not disconnected. A splint placed inside the wirsung was exteriorized percutaneously through the jejunal loop and removed 30 days after the operation. Both kidney and pancreas grafts are functioning normally 2 years after transplantation.",,"Adult; Diabetes Mellitus, Type 1; Drainage; Enterostomy; Fistula; Humans; Kidney Transplantation; Male; Pancreas Transplantation; Pancreatic Ducts; Postoperative Complications; Urinary Bladder",Case Reports; Journal Article,pancreaticoduodeno-renal transplantation (biological_process); pancreaticoduodeno-renal transplant (drug); graft pancreatitis (disease); pancreatic fistula (disease); ascitis (disease); graft function (clinical_outcome); vesical catheter drainage (drug); Anastomosis (drug); duodenocystostomy (drug),"(pancreaticoduodeno-renal transplantation, Association, graft pancreatitis); (pancreatic fistula, Positive_Correlation, ascitis); (graft pancreatitis, Positive_Correlation, pancreatic fistula)"
1788205,https://pubmed.ncbi.nlm.nih.gov/1788205/,1991,[Physical working capacity and myocardial perfusion in patients with diabetes mellitus].,Problemy endokrinologii,"A study was made of the interrelationship of myocardial perfusion with physical working capacity in different types of DM (with the duration of disease from 4 to 8 years without clinical signs of circulatory insufficiency). Rated physical exercise testing in 12 patients with insulin dependent diabetes and 27 patients with noninsulin dependent diabetes as well as in 40 healthy subjects has shown a GTT decrease in diabetes mellitus irrespective of patient's age, sex and body mass to be more marked in noninsulin dependent type and to be closely related to disturbed oxygen supply of the heart and a lowered myocardial reserve. Bicycle ergometric testing combined with 201Tl scintigraphy in 20 patients has shown disorder of perfusion in all the patients irrespective of a diabetes type and duration of disease. Insulin dependent diabetes mellitus was characterized by stable perfusion defects resulting from metabolic derangements, and noninsulin dependent diabetes mellitus was characterized by a decrease in the level of a maximum Tl uptake by the myocardium and transient perfusion defects of ischemic type.",,Adult; Diabetes Mellitus; Exercise Test; Female; Glucose Tolerance Test; Heart; Hemodynamics; Humans; Male; Middle Aged; Perfusion; Physical Exertion; Work Capacity Evaluation,English Abstract; Journal Article,insulin-dependent diabetes mellitus (disease); non-insulin-dependent diabetes mellitus (disease); diabetes mellitus (disease); circulatory insufficiency (disease); myocardial perfusion disorder (disease); myocardial perfusion (biological_process); metabolic derangements (disease); metabolic derangements (biological_process); thallium-201 (201Tl) (chemical); 201Tl (drug); myocardial perfusion (biological_process); myocardial reserve (biological_process); cardiac oxygen supply (biological_process); physical working capacity (clinical_outcome); physical working capacity (biological_process); GTT decrease (clinical_outcome); GTT (biological_process); stable perfusion defects (clinical_outcome); stable perfusion defects (disease); transient ischemic perfusion defects (clinical_outcome); transient perfusion defects (disease); maximum myocardial Tl uptake (clinical_outcome); noninsulin dependent diabetes (disease); disturbed oxygen supply of the heart (biological_process); disorder of perfusion (disease); maximum Tl uptake by the myocardium (biological_process),"(insulin-dependent diabetes mellitus, Association, stable perfusion defects); (non-insulin-dependent diabetes mellitus, Positive_Correlation, GTT decrease); (diabetes mellitus, Negative_Correlation, GTT); (metabolic derangements, Positive_Correlation, stable perfusion defects); (diabetes mellitus, Negative_Correlation, physical working capacity); (diabetes mellitus, Positive_Correlation, myocardial perfusion disorder); (diabetes mellitus, Negative_Correlation, myocardial reserve); (diabetes mellitus, Negative_Correlation, cardiac oxygen supply); (non-insulin-dependent diabetes mellitus, Association, transient ischemic perfusion defects); (non-insulin-dependent diabetes mellitus, Negative_Correlation, maximum myocardial Tl uptake); (noninsulin dependent diabetes, Comparison, insulin dependent diabetes); (GTT, Association, disturbed oxygen supply of the heart); (GTT, Association, myocardial reserve); (diabetes mellitus, Association, disorder of perfusion); (noninsulin dependent diabetes, Negative_Correlation, maximum Tl uptake by the myocardium)"
2019226,https://pubmed.ncbi.nlm.nih.gov/2019226/,1991,Exercise habits and exercise relapse in persons with non-insulin-dependent diabetes mellitus.,The Diabetes educator,"Exercise is widely recognized as a crucial component in the management of non-insulin-dependent diabetes mellitus (NIDDM), but little is known about actual exercise practices in this group. This study investigated exercise habits in 60 persons with NIDDM and 60 nondiabetic significant others. Despite the importance of exercise, most of the persons with NIDDM in our study were not exercising regularly, and the percent of persons exercising regularly was no greater in the diabetic group than in the group of significant others. Although those with NIDDM reported more frequent discussion about exercise with health care professionals, only 25% reported receiving specific guidelines for exercise. Diabetic respondents reported a greater number of relapse or dropout episodes than did the nondiabetic significant others, and relapse was associated with increased guilt. Persons with NIDDM appear to receive recommendations to exercise without instruction on exercise maintenance strategies, resulting in more failed attempts to exercise, and increased guilt. Interventions shown to be effective for increasing exercise maintenance need to be incorporated into the diabetic regimen.",,"Diabetes Mellitus, Type 2; Exercise; Female; Health Behavior; Humans; Male; Middle Aged; Patient Education as Topic; Surveys and Questionnaires","Journal Article; Research Support, U.S. Gov't, P.H.S.",non-insulin-dependent diabetes mellitus (NIDDM) (disease); exercise (biological_process); exercise (drug); exercise relapse (biological_process); guilt (clinical_outcome),"(exercise, Association, NIDDM management); (exercise relapse, Positive_Correlation, guilt); (exercise, Association, non-insulin-dependent diabetes mellitus (NIDDM))"
2124448,https://pubmed.ncbi.nlm.nih.gov/2124448/,1990,[Ambulatory blood pressure in hypertension with dysautonomia].,Archives des maladies du coeur et des vaisseaux,"The purpose of the study was to evaluate the interest of ambulatory blood pressure (BP) recording (ABPR) in the management of arterial hypertension (AH) with dysautonomia. The study concerned 8 hypertensive patients (pts), 5 men, 3 females 52 +/- 10 years old, with orthostatic hypotension (OH): BP was 162 +/- 19/87 +/- 16 mmHg and 129 +/- 15/76 +/- 8 mmHg in lying and standing position respectively. In two cases AH was associated with a central degenerative disorder whereas the six other pts had a diabetic dysautonomia: bad metabolic control (HBA1c 14.4 +/- 2.7%), and incipient or over nephropathy (4 pts). ABPR was performed in all pts during 24 hours (space-labs system). In these hypertensive pts with OH, the mean 24 hour-BP was surprisingly normal at 128 +/- 11/76 +/- 6 mmHg. ABPR demonstrated the loss of nocturnal decline in BP: diurnal and nocturnal BP were respectively 125 +/- 13/74 +/- 6 mmHg and 133 +/- 16/78 +/- 10 mmHg (NS). 6 of 8 pts had an increase in BP at night resulting for the population (n = 8) in a nocturnal increase (%) of + 5.6%, this pattern widely differs from controls--13%. The decrease in heart rate during sleep was blunted but significant from 89 +/- 9 b/min to 81 +/- 9 b/min (p 0.01). Diurnal and nocturnal BP variability (V), assessed by variation coefficient were not significantly different: SBP-V was 10.3 +/- 6.4% day and 12.3 +/- 4.2% night, DBP-V 7.5 +/- 6.3% day and 12.5 +/- 3.1% night.(ABSTRACT TRUNCATED AT 250 WORDS)",,"Adult; Ambulatory Care; Autonomic Nervous System Diseases; Blood Pressure; Blood Pressure Monitors; Circadian Rhythm; Diabetes Mellitus, Type 1; Female; Heart Rate; Humans; Hypertension; Hypotension, Orthostatic; Male; Middle Aged",English Abstract; Journal Article,arterial hypertension (disease); dysautonomia (disease); orthostatic hypotension (disease); diabetic dysautonomia (disease); diabetic nephropathy (disease); ambulatory blood pressure recording (biological_process); ambulatory blood pressure (BP) (clinical_outcome); blood pressure (biomarker); haemoglobin A1c (biomarker); heart rate (biomarker); heart rate (clinical_outcome); nocturnal blood pressure decline (biomarker); nocturnal decline in BP (clinical_outcome); central degenerative disorder (disease); HBA1c (biomarker),"(diabetes, Association, diabetic dysautonomia); (diabetic dysautonomia, Association, arterial hypertension); (diabetic dysautonomia, Association, diabetic nephropathy); (diabetic dysautonomia, Negative_Correlation, nocturnal blood pressure decline); (arterial hypertension, Association, orthostatic hypotension); (arterial hypertension (AH), Association, central degenerative disorder); (arterial hypertension (AH), Association, diabetic dysautonomia)"
2203875,https://pubmed.ncbi.nlm.nih.gov/2203875/,1990,The predictive capability of the glycaemic response to spaghetti in non-insulin dependent (NIDDM) and insulin dependent (IDDM) diabetic subjects.,Journal of internal medicine,"To evaluate the predictive capability of the postprandial blood glucose response after consumption of a starch-rich meal, we compared the glycaemic effects of spaghetti (60 g) taken alone and with bolognese sauce (167 g). The study was carried out in both NIDDM (n = 6) and IDDM (n = 6) subjects. The latter had achieved normoglycaemia 120 min prior to the test meal by means of an artificial pancreas (Biostator) which provided constant insulinaemia during the observation period of 4 h. We found that the areas of blood glucose (above basal) were identical irrespective of whether spaghetti was taken alone or as part of a mixed meal in both NIDDM (484 +/- 154 mmol l-1 240 min-1 vs. 393 +/- 126 mmol l-1 240 min-1) and IDDM subjects (610 +/- 143 mmol l-1 240 min-1 vs. 770 +/- 135 mmol l-1 240 min-1). The insulin levels were identical in the IDDM diabetics. By contrast, the mixed meal caused a more marked insulinaemic response than spaghetti per se in the NIDDM subjects (3187 +/- 637 mU l-1 240 min-1 vs. 1940 +/- 235 mU l-1 240 min-1; P less than 0.05). In conclusion, the predictive capability of the glycaemic response to spaghetti was good in both IDDM and NIDDM diabetic subjects, at least under the conditions of the present study.",,"Blood Glucose; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Dietary Carbohydrates; Female; Glycated Hemoglobin; Humans; Insulin; Male; Predictive Value of Tests","Journal Article; Research Support, Non-U.S. Gov't",non-insulin-dependent diabetes mellitus (NIDDM) (disease); insulin-dependent diabetes mellitus (IDDM) (disease); postprandial blood glucose (biomarker); spaghetti (chemical); mixed meal (chemical); the mixed meal (drug); insulin (protein); insulin levels (biomarker); glycaemic response (biomarker); insulinaemic response (clinical_outcome); insulinaemic response (biomarker); artificial pancreas (Biostator) (drug); normoglycaemia (biomarker); normoglycaemia (clinical_outcome),"(mixed meal, Positive_Correlation, insulinaemic response); (spaghetti, Association, glycaemic response); (NIDDM, Association, glycaemic response); (IDDM, Association, glycaemic response)"
2688138,https://pubmed.ncbi.nlm.nih.gov/2688138/,1989,"[Treatment of unstable diabetes mellitus in children and adolescents using insulin administered by a semi-automated syringe, NovoPen].",Srpski arhiv za celokupno lekarstvo,"An insulin device, NovoPen, incorporating human actrapid insulins was used in a group of 6 poor--controlled diabetic adolescents, aged 15 years (mean 8-18.7) with duration of diabetes 8.2 +/- 4.8 years (mean +/- S.D). The study was carried out in insulin-dependent diabetic young-people, to test the efficacy and acceptance of an intensified insulin therapy (an injection of short-acting insulin before each of the three meals using NovoPen plus an evening injection of human ultratard insulin from a conventional syringe) in the hope of achieving the improved control. All patients completed a 6-months NovoPen-therapy and preferred to continue with the multiple injection regimen in the long term. Metabolic control was improved, the values of haemoglobin A1c decreased from 16.8% to 13.4% (statistically significant) during the study. The use of the NovoPen injection device proved to be a safe and acceptable method of therapy; it offered the patients a marked freedom and liberalization of everyday life.",,"Adolescent; Child; Diabetes Mellitus, Type 1; Female; Humans; Injections, Subcutaneous; Insulin; Male",English Abstract; Journal Article,insulin-dependent diabetes (disease); NovoPen (drug); human actrapid insulin (protein); human actrapid insulins (drug); human ultratard insulin (protein); human ultratard insulin (drug); haemoglobin A1c (biomarker); metabolic control (clinical_outcome); insulin-dependent diabetic (disease); intensified insulin therapy (drug); short-acting insulin (drug),"(intensified insulin therapy, Positive_Correlation, metabolic control); (intensified insulin therapy, Negative_Correlation, haemoglobin A1c); (short-acting insulin, Cotreatment, human ultratard insulin)"
2789462,https://pubmed.ncbi.nlm.nih.gov/2789462/,1989,"Insulin binding substances, autoimmunity and type I diabetes in Kuwaiti patients and their kindred.",Acta diabetologica latina,"Insulin autoantibodies (IAAs) are associated with type I diabetes mellitus (DM) and have been suggested as predictive markers of the disease. Using an ELISA assay, we have studied the prevalence of binding to human insulin in sera from an Arab type I DM population and compared it with the prevalence in the family members (FMs) of the probands, in type II DM patients from the same population, and in Arab control subjects. Significant levels of binding occurred in 11/16 (69%) of type I DM patients and in 21/34 (62%) of their FMs, but in only 5/31 (16%) of type II DM patients and in 1/25 (4%) of control subjects. Within families, there was homogeneity with regard to the level of insulin binding and the mean family levels correlated with those of the proband (r = 0.68, df = 7, p = 0.05). HLA-DR3 or -DR4 antigens occurred in 55/63 (87%) of type I DM patients and in 95/118 (81%) of their FMs. This was significantly higher (p less than 0.001) than in either type II DM patients (39/75, 52%) or in control subjects (34/93, 37%). ICAs were present in significantly more (25/43, 58%) of type I DM patients than their FMs (3/82, 3%) (p less than 0.001). They did not occur in either type II DM patients or in the control group. In conclusion, insulin binding occurred in sera from both type I diabetic patients and their kindred, and hence did not appear to be specifically associated with the development of clinical diabetes.",,"Adolescent; Adult; Age Factors; Autoantibodies; C-Peptide; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Enzyme-Linked Immunosorbent Assay; Family; Female; HLA-DR Antigens; HLA-DR3 Antigen; HLA-DR4 Antigen; Hemoglobin A; Humans; Insulin Antibodies; Kuwait; Male; Middle Aged","Journal Article; Research Support, Non-U.S. Gov't",insulin autoantibodies (IAAs) (biomarker); type I diabetes mellitus (disease); type II diabetes mellitus (disease); HLA-DR3 (gene); HLA-DR4 (gene); islet cell antibodies (ICAs) (biomarker); human insulin (protein); type II DM (disease); insulin binding (biological_process),"(insulin autoantibodies, Association, type I diabetes mellitus); (HLA-DR3, Positive_Correlation, type I diabetes mellitus); (HLA-DR4, Positive_Correlation, type I diabetes mellitus); (islet cell antibodies, Positive_Correlation, type I diabetes mellitus); (ICAs, Positive_Correlation, type I diabetes mellitus (DM)); (insulin binding, Association, type I diabetes mellitus (DM))"
2947878,https://pubmed.ncbi.nlm.nih.gov/2947878/,1986,"Down's syndrome, hypothyroidism and insulin-dependent diabetes mellitus.",Helvetica paediatrica acta,"We describe a child with Down's syndrome who developed an insulin-dependent diabetes mellitus at the age of 8 years and hypothyroidism at the age of 17 years. Because of the well known tendency to autoimmune diseases of patients with Down's syndrome, an autoantibody screening was undertaken. Only a low titre for gastric parietal cell antibodies was repeatedly found, but a gastric biopsy did not reveal chronic atrophic gastritis. Thyroid function should be checked periodically in patients with Down's syndrome since they might suffer from hypothyroidism which may not be recognized for a long time because of its latent onset.",,"Child; Diabetes Mellitus, Type 1; Down Syndrome; Humans; Hypothyroidism; Male; Thyroxine",Case Reports; Journal Article,Down's syndrome (disease); insulin-dependent diabetes mellitus (disease); hypothyroidism (disease); autoimmune diseases (disease); gastric parietal cell antibodies (biomarker); chronic atrophic gastritis (disease); thyroid function (biomarker),"(Down's syndrome, Positive_Correlation, autoimmune diseases); (Down's syndrome, Positive_Correlation, hypothyroidism); (Down's syndrome, Association, insulin-dependent diabetes mellitus)"
3272815,https://pubmed.ncbi.nlm.nih.gov/3272815/,1988,HLA-DR1 and HLA-DR3 phenotypes and insulin antibody production in diabetic Sicilian patients.,Experimental and clinical immunogenetics,"We have evaluated the role played by HLA antigens in the control of humoral response to exogenous insulin in a sample of Sicilian insulin-dependent diabetes mellitus patients. The results demonstrate that HLA-DR1-positive patients show the highest mean values of insulin antibody, whereas HLA-B18,DR3-positive patients show the lowest. Thus, present observations show that HLA-DR1- and HLA-DR3-linked genes do play opposite roles in the humoral immune response to an exogenous protein, i.e. injected insulin. These results might be consistent with the findings concerning the mechanisms involved in the resistance and/or susceptibility to immunological diseases. In this regard, the fact that no immunological spontaneous disorder has been shown to be associated with HLA-DR1, whereas several have been shown to be associated with HLA-DR3, is intriguing.",,"Adolescent; Adult; Child; Diabetes Mellitus, Type 1; Female; HLA-DR1 Antigen; HLA-DR3 Antigen; Humans; Insulin Antibodies; Male; Phenotype; Sicily",Journal Article,insulin-dependent diabetes mellitus (disease); immunological diseases (disease); HLA-DR1 (gene); HLA-B18 (gene); HLA-DR3 (gene); exogenous insulin (protein); exogenous insulin (drug); insulin antibody (protein); humoral immune response (biological_process); HLA antigens (gene); immunological spontaneous disorder (disease),"(HLA-DR1, Positive_Correlation, insulin antibody); (HLA-DR3, Negative_Correlation, insulin antibody); (HLA-DR1, Association, humoral immune response); (HLA-DR3, Association, humoral immune response); (exogenous insulin, Association, humoral immune response); (HLA-DR3, Positive_Correlation, immunological diseases)"
3669177,https://pubmed.ncbi.nlm.nih.gov/3669177/,1987,Penile necrosis secondary to an indwelling Foley catheter.,The Journal of urology,Penile necrosis is a rare entity but it may be brought about more readily if certain risk factors are present. Such factors are discussed in this paper and the reader is forewarned about this problem.,,"Catheterization; Catheters, Indwelling; Diabetes Mellitus, Type 1; Humans; Kidney Failure, Chronic; Male; Middle Aged; Necrosis; Penis; Risk Factors; Time Factors",Case Reports; Journal Article,Penile necrosis (disease),
3945267,https://pubmed.ncbi.nlm.nih.gov/3945267/,1986,Relation between complications of type I diabetes mellitus and collagen-linked fluorescence.,The New England journal of medicine,"Nonenzymatically glycosylated proteins gradually form fluorescent cross-linked protein adducts--a process termed ""browning."" The rate of this reaction increases with the glucose concentration. Assaying for the presence of browning products in long-lived proteins should therefore provide information on long-term metabolic control. We measured collagen-linked fluorescence typical for nonenzymatic browning in skin-biopsy specimens from 41 subjects with longstanding Type I diabetes and from 25 controls. Fluorescence correlated with age and (weakly) with the duration of diabetes. Mean age-adjusted fluorescence values were twice as high in diabetic subjects as in control subjects (P less than 0.0001) and increased with the severity of retinopathy, nephropathy, and arterial and joint stiffness. The correlation was significant for retinopathy (r = 0.42; P less than 0.01), arterial stiffness (r = 0.41; P less than 0.01), joint stiffness (r = 0.34; P less than 0.05), and the sum of all complications (r = 0.47; P less than 0.01). Fluorescence also correlated with systolic (r = 0.42; P less than 0.01) and diastolic (r = 0.36; P less than 0.05) blood pressures. If one can assume that the fluorescence results from a browning product of glucose, our data suggest that there is an overall correlation between the severity of diabetic complications and cumulative glycemia over many years.",,"Adult; Age Factors; Collagen; Diabetes Mellitus, Type 1; Diabetic Angiopathies; Diabetic Nephropathies; Diabetic Retinopathy; Female; Fluorescence; Glucose; Humans; Joint Diseases; Male; Middle Aged; Skin","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Type I diabetes (disease); retinopathy (disease); nephropathy (disease); arterial stiffness (disease); joint stiffness (disease); diabetic complications (disease); collagen (protein); collagen-linked fluorescence (biological_process); nonenzymatically glycosylated proteins (protein); cross-linked protein adducts (protein); glucose (chemical); nonenzymatic protein browning (biological_process); collagen-linked fluorescence (biomarker); long-term metabolic control (clinical_outcome); duration of diabetes (clinical_outcome); systolic blood pressure (clinical_outcome); systolic blood pressure (biological_process); diastolic blood pressure (clinical_outcome); diastolic blood pressure (biological_process),"(nonenzymatically glycosylated proteins, Conversion, cross-linked protein adducts); (Type I diabetes, Positive_Correlation, collagen-linked fluorescence); (collagen-linked fluorescence, Positive_Correlation, retinopathy); (collagen-linked fluorescence, Positive_Correlation, nephropathy); (collagen-linked fluorescence, Positive_Correlation, arterial stiffness); (collagen-linked fluorescence, Positive_Correlation, joint stiffness); (collagen-linked fluorescence, Positive_Correlation, diabetic complications); (collagen-linked fluorescence, Positive_Correlation, systolic blood pressure); (collagen-linked fluorescence, Positive_Correlation, diastolic blood pressure); (glucose, Positive_Correlation, nonenzymatic protein browning); (collagen-linked fluorescence, Association, long-term metabolic control); (collagen-linked fluorescence, Positive_Correlation, duration of diabetes); (collagen-linked fluorescence, Association, browning)"
4060795,https://pubmed.ncbi.nlm.nih.gov/4060795/,1985,[Circadian behavior of hemostaseologic parameters in diabetic patients and metabolically healthy individuals].,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,"In three groups of test persons [10 persons each with healthy metabolism under fasting (A) and intake of food (B); 10 insulin-dependent diabetics (C)] the determinations of the thromboplastin time, the partial thromboplastin time, the bleeding time, the spontaneous fibrinolytic activity, the number of thrombocytes and the aggregation of platelets were carried out on the day (A) and round the clock (B abd C), respectively. The values of the fasting persons with healthy metabolism distributed themselves on the day constantly in the area of width of errors. Under food intake persons with healthy metabolism showed circadian variations of the several tests. In diabetics the parameters of haemostasis revealed in the course of day a clear increase of the unstable behaviour compared with the control group B. There were no relations to the actual blood sugar value. In a tendency to more coagulation-active values in the late afternoon interindividually a general biorhythmical behaviour pattern could not be recognized. The proved increased circadian labilisation of the haemostasis potential in diabetics deserves more attention with regard to the connection between thrombophilia and atherogenesis.",,"Adolescent; Adult; Aged; Blood Coagulation Tests; Circadian Rhythm; Diabetes Mellitus, Type 1; Female; Fibrinogen; Humans; Male; Middle Aged",English Abstract; Journal Article,insulin-dependent diabetes (disease); thromboplastin time (biomarker); thromboplastin time (clinical_outcome); partial thromboplastin time (biomarker); partial thromboplastin time (clinical_outcome); bleeding time (biomarker); bleeding time (clinical_outcome); spontaneous fibrinolytic activity (biomarker); spontaneous fibrinolytic activity (biological_process); thrombocytes (cell_type); number of thrombocytes (clinical_outcome); platelet aggregation (biological_process); haemostasis (biological_process); blood sugar (biomarker); thrombophilia (disease); atherogenesis (biological_process); aggregation of platelets (biological_process); intake of food (biomarker); fasting (biomarker),"(thrombophilia, Association, atherogenesis); (insulin-dependent diabetes, Positive_Correlation, haemostasis labilisation)"
4143592,https://pubmed.ncbi.nlm.nih.gov/4143592/,1971,Abnormal insulin response in patients with small-vessel disease.,"Lancet (London, England)","The insulin response to a glucose load has been investigated in twenty-five patients with small-vessel disease (ischaemic lesions of toes or feet in the presence of foot pulses). The clinical presentation was similar to that of juvenile diabetic microangiopathy, but in small-vessel disease there was no glucose intolerance. Unexpectedly in the patients with small-vessel disease there was no striking insulin secretion response to the stimulus of a glucose load. Controls increased their circulating insulin levels on average sixfold over fasting levels after 50 g. oral glucose: all the small-vessel-disease patients had increases of less than three times their fasting levels, and nine of them had completely flat curves throughout the test. Tolbutamide also did not stimulate insulin secretion. The refractory state of these patients' responses to the normal stimulus of insulin output has similarities to the picture in juvenile diabetes mellitus and may be important in the aetiology of the small-vessel lesions.",,"Diabetic Angiopathies; Diagnosis, Differential; Female; Foot; Glucose Tolerance Test; Humans; Insulin; Insulin Secretion; Ischemia; Male; Middle Aged; Time Factors; Toes; Tolbutamide","Journal Article; Research Support, Non-U.S. Gov't",small-vessel disease (disease); juvenile diabetic microangiopathy (disease); glucose (chemical); insulin (protein); insulin secretion (biological_process); glucose intolerance (clinical_outcome); glucose intolerance (disease); Tolbutamide (drug); juvenile diabetes mellitus (disease); small-vessel lesions (disease); circulating insulin levels (biomarker); insulin output (biological_process),"(glucose, Positive_Correlation, insulin secretion); (small-vessel disease, Negative_Correlation, insulin secretion); (Tolbutamide, Negative_Correlation, insulin secretion); (small-vessel disease, Association, juvenile diabetes mellitus); (glucose, Positive_Correlation, circulating insulin levels); (small-vessel disease, Negative_Correlation, circulating insulin levels)"
4282831,https://pubmed.ncbi.nlm.nih.gov/4282831/,1974,Comparative study of growth in asthmatic children and other children with chronic disease to a control group.,Allergie und Immunologie,"This study analysed the pathological factors significant for causing retardation of growth in different kinds of chronic diseases: asthma and other pulmonary chronic illness, rheumatic disease, diffuse collagen diseases, congenital heart disease and diabetes mellitus. All children were divided in two categories: the several and the mild cases depending on the degree of impairement of the main illness. All children have been analysed clinically, biochemically, immunologically, hormonally, and functionally; they were tested antropometrically, skeletal maturit stated, by means of special perforated cards for every illness with 49 dates and all data registered in specific ""pass-port"" for each child. We have a special organization for the chronic patients to assure regular control and to prevent complications. In each case professional orientation is carried out.",,"Anthropometry; Asthma; Bronchiectasis; Child; Chronic Disease; Collagen Diseases; Diabetes Mellitus, Type 1; Growth Disorders; Heart Defects, Congenital; Humans; Punched-Card Systems; Respiratory Function Tests; Rheumatic Fever",Comparative Study; Journal Article,asthma (disease); pulmonary chronic illness (disease); rheumatic disease (disease); diffuse collagen diseases (disease); congenital heart disease (disease); diabetes mellitus (disease); retardation of growth (clinical_outcome); complications (clinical_outcome); rheumatic disease (disease),"(diabetes mellitus, Association, retardation of growth); (diabetes mellitus, Association, complications); (chronic diseases, Association, retardation of growth)"
4371445,https://pubmed.ncbi.nlm.nih.gov/4371445/,1974,"An ""outbreak"" of juvenile diabetes mellitus: consideration of a viral etiology.",American journal of epidemiology,"Huff. J. C., J. C. Hierholzer (Respiratory Virology Section, Center for Disease Control. Atlanta, Ga. 30333) and W. A. Farris. An “outbreak” of juvenile diabetes mellitus: consideration of a viral etiology. Am J Epidemiol 100:277–287. 1974.—Nine of twelve cases of juvenile diabetes mellitus, representing an unusual geographic and temporal cluster, were investigated for evidence that a specific viral infection might be etiologically related to their occurrence. Eight diabetics had experienced recent “viral-like” illnesses, predominantly repiratory, but these illnesses bore no uniform temporal relation to their onsets of diabetes. Diabetics demonstrated no serologic evidence of a recent viral illness common to all. Elevated titers to only one virus, coxsackie B-3, were more prevalent in diabetics than in controls (33% vs. 6%), but geometric mean titers of diabetics to a panel of 26 common viral antigens were similar to those of controls. These data neither support nor negate the hypothesis that infection with a specific virus precipitates juvenile diabetes mellitus.",,"Adolescent; Antibodies, Viral; Child; Child, Preschool; Complement Fixation Tests; Coronaviridae; Cytomegalovirus; Diabetes Mellitus, Type 1; Disease Outbreaks; Enterovirus; Female; Florida; Hemagglutination Inhibition Tests; Humans; Male; Neutralization Tests; Orthomyxoviridae; Pharynx; Rectum; Respiratory Tract Infections; Virus Diseases; Viruses",Journal Article,juvenile diabetes mellitus (disease); viral-like illnesses (disease); coxsackie B-3 (biomarker); coxsackie B-3 (disease); viral antigens (biomarker); viral infection (disease),"(juvenile diabetes mellitus, Positive_Correlation, coxsackie B-3); (coxsackie B-3, Positive_Correlation, juvenile diabetes mellitus)"
4729184,https://pubmed.ncbi.nlm.nih.gov/4729184/,1973,Monozygous twins with hypothyroidism and diabetes mellitus.,Postgraduate medical journal,"Monozygous twins with diabetes mellitus and autoimmune hypothyroidism are described. The onset of the hypothyroidism was simultaneous, but one twin had had insulin-dependent diabetes mellitus for 9 years while the other twin developed insulin-independent diabetes concurrently with the hypothyroidism. Two other siblings had diabetes mellitus and one of them had a goitre, possibly lymphadenoid. The aetiology of autoimmune hypothyroidism is discussed, and evidence is presented which supports suggestions that diabetes mellitus may be an autoimmune disease.",,Autoimmune Diseases; Diabetes Mellitus; Diseases in Twins; Female; Humans; Hypothyroidism; Middle Aged,Journal Article,diabetes mellitus (disease); autoimmune hypothyroidism (disease); insulin-dependent diabetes mellitus (disease); insulin-independent diabetes mellitus (disease); goitre (disease); autoimmune disease (disease); hypothyroidism (disease),"(insulin-dependent diabetes mellitus, Association, autoimmune hypothyroidism); (diabetes mellitus, Association, autoimmune hypothyroidism); (diabetes mellitus, Association, autoimmune disease); (insulin-independent diabetes mellitus, Association, autoimmune hypothyroidism)"
5083884,https://pubmed.ncbi.nlm.nih.gov/5083884/,1972,Glomerular filtration rate and renal plasma flow in long-term juvenile diabetics without proteinuria.,British medical journal,"Glomerular filtration rate and renal plasma flow were examined in 16 young male non-proteinuric diabetics (mean age 28.4 years) with a duration of diabetes of over 15 years (mean duration 21.5 years.) In this selected group of long-term diabetics the glomerular filtration rate was clearly increased, the mean being 136 ml/min (+/-S.D. 11.8) (normal value 114 ml/min (+/-14.1), being comparable to that found earlier in short-term diabetics. There was no change in renal plasma flow. It is concluded that kidney function is generally well preserved in long-term diabetics who have not developed proteinuria.",,"Adult; Blood Glucose; Chronic Disease; Diabetes Mellitus, Type 1; Glomerular Filtration Rate; Humans; Iodine Radioisotopes; Iodohippuric Acid; Iothalamic Acid; Kidney; Male; Proteinuria; Regional Blood Flow",Journal Article,glomerular filtration rate (biomarker); glomerular filtration rate (clinical_outcome); renal plasma flow (biomarker); renal plasma flow (clinical_outcome); diabetes mellitus (disease); proteinuria (biomarker); proteinuria (clinical_outcome); kidney function (clinical_outcome); long-term diabetics (disease),"(diabetes mellitus, Positive_Correlation, glomerular filtration rate); (proteinuria, Negative_Correlation, kidney function); (long-term diabetics, Positive_Correlation, glomerular filtration rate)"
