pmid,source,relation,target,tier,note
17510698,prolonged moderate exercise,Negative_Correlation,hyperglycemia,Tier1_agree,
17510698,postexercise state,Negative_Correlation,insulin sensitivity,Tier1_agree,
17510698,prolonged moderate exercise,Negative_Correlation,postprandial C-peptide elevation,Tier1_agree,
18064633,MIF,Positive_Correlation,insulitis,Tier1_agree,
18064633,MIF,Positive_Correlation,pancreatic endocrine apoptosis,Tier1_agree,
18064633,MIF,Positive_Correlation,lymphocyte proliferation,Tier1_agree,
18064633,MIF,Positive_Correlation,lymphocyte adhesion,Tier1_agree,
18064633,MIF,Positive_Correlation,IL-12,Tier1_agree,
18064633,MIF,Positive_Correlation,IL-23,Tier1_agree,
18064633,MIF,Positive_Correlation,TNF-alpha,Tier1_agree,
18064633,MIF,Positive_Correlation,IL-1beta,Tier1_agree,
18064633,MIF,Negative_Correlation,IL-4,Tier1_agree,
18064633,MIF,Negative_Correlation,TGF-beta,Tier1_agree,
18064633,anti-MIF antibody,Negative_Correlation,accelerated diabetes,Tier1_agree,
18064633,MIF deficiency,Negative_Correlation,immunoinflammatory diabetes,Tier1_agree,
18064633,cyclophosphamide,Positive_Correlation,accelerated diabetes,Tier1_agree,
18064633,diabetogenic spleen cells,Positive_Correlation,accelerated diabetes,Tier1_agree,
18064633,streptozotocin,Positive_Correlation,immunoinflammatory diabetes,Tier1_agree,
18064633,streptozotocin,Positive_Correlation,insulitis,Tier1_agree,
18064633,streptozotocin,Positive_Correlation,apoptosis,Tier1_agree,
28615632,miR-10b,Positive_Correlation,corneal epithelial cell proliferation,Tier1_agree,
28615632,miR-10b,Negative_Correlation,PAX6 expression,Tier1_agree,
28615632,miR-10b,Negative_Correlation,DKK1 expression,Tier1_agree,
28615632,miR-10b,Positive_Correlation,keratin 17 expression,Tier1_agree,
34128835,12-LOX,Positive_Correlation,type 1 diabetes development,Tier1_agree,
34128835,12-LOX,Positive_Correlation,macrophage infiltration,Tier1_agree,
34128835,12-LOX,Positive_Correlation,myeloid cell migration,Tier1_agree,
34128835,CXCR3,Positive_Correlation,myeloid cell migration,Tier1_agree,
14139995,brittle diabetes,Positive_Correlation,insulin-sensitivity,Tier2_resolved_specific,kept specific label over generic Association
14139995,brittle diabetes,Positive_Correlation,ketosis-proneness,Tier2_resolved_specific,kept specific label over generic Association
5355346,insulin-independent diabetes mellitus (IID),Negative_Correlation,metabolic clearance rate of HGH,Tier2_resolved_specific,kept specific label over generic Association
5355346,insulin-dependent diabetes mellitus (IDD),Negative_Correlation,metabolic clearance rate of HGH,Tier2_resolved_specific,kept specific label over generic Association
5431658,fasting blood glucose,Positive_Correlation,serum growth hormone,Tier2_resolved_specific,kept specific label over generic Association
54584,diabetic ketoacidosis,Positive_Correlation,polydipsia,Tier2_resolved_specific,kept specific label over generic Association
54584,diabetic ketoacidosis,Positive_Correlation,polyuria,Tier2_resolved_specific,kept specific label over generic Association
54584,diabetic ketoacidosis,Positive_Correlation,anorexia,Tier2_resolved_specific,kept specific label over generic Association
54584,diabetic ketoacidosis,Positive_Correlation,abdominal pain,Tier2_resolved_specific,kept specific label over generic Association
54584,diabetic ketoacidosis,Positive_Correlation,severe dehydration,Tier2_resolved_specific,kept specific label over generic Association
535578,diabetes mellitus,Positive_Correlation,polyneuropathy,Tier2_resolved_specific,kept specific label over generic Association
7033091,verapamil,Negative_Correlation,glucose response to glucagon,Tier2_reviewed_both,"both facts valid, different sub-aspect"
7033091,verapamil,Positive_Correlation,the glucose response in the controls,Tier2_reviewed_both,"both facts valid, different sub-aspect"
7033091,glucagon,Positive_Correlation,glucose response to glucagon,Tier2_resolved_specific,kept specific label over generic Association
4060795,insulin-dependent diabetes,Positive_Correlation,haemostasis labilisation,Tier2_resolved_specific,kept specific label over generic Association
2947878,Down's syndrome,Positive_Correlation,autoimmune diseases,Tier2_resolved_specific,kept specific label over generic Association
2947878,Down's syndrome,Positive_Correlation,hypothyroidism,Tier2_resolved_specific,kept specific label over generic Association
3272815,HLA-DR3,Positive_Correlation,immunological diseases,Tier2_resolved_specific,kept specific label over generic Association
1788205,non-insulin-dependent diabetes mellitus,Positive_Correlation,GTT decrease,Tier2_reviewed_equivalent,logically equivalent phrasing (double negation)
1788205,diabetes mellitus,Negative_Correlation,GTT,Tier2_reviewed_equivalent,logically equivalent phrasing (double negation)
1788205,metabolic derangements,Positive_Correlation,stable perfusion defects,Tier2_resolved_specific,kept specific label over generic Association
1595513,bedtime insulin,Positive_Correlation,hyperglycemia control,Tier2_reviewed_both,"both facts valid, different sub-aspect"
1595513,ultralente insulin,Negative_Correlation,hyperglycemia,Tier2_reviewed_both,"both facts valid, different sub-aspect"
1604625,pancreatic fistula,Positive_Correlation,ascitis,Tier2_resolved_specific,kept specific label over generic Association
8731565,LDL oleic acid enrichment,Positive_Correlation,endogenous cholesterol synthesis regulation,Tier2_reviewed_both,"both facts valid, different sub-aspect"
8731565,oleic-acid-rich diet,Negative_Correlation,cholesterol synthesis,Tier2_reviewed_both,"both facts valid, different sub-aspect"
9300243,diabetic polyneuropathy,Positive_Correlation,motor dysfunction,Tier2_resolved_specific,kept specific label over generic Association
9300243,diabetic polyneuropathy,Positive_Correlation,muscular atrophy,Tier2_resolved_specific,kept specific label over generic Association
10706327,SBP,Positive_Correlation,cardiovascular disease events,Tier2_resolved_specific,kept specific label over generic Association
10829521,chronic pancreatitis,Positive_Correlation,pain,Tier2_resolved_specific,kept specific label over generic Association
10829521,advanced chronic pancreatitis,Positive_Correlation,diabetes,Tier2_resolved_specific,kept specific label over generic Association
11323502,insulin-dependent diabetes mellitus,Positive_Correlation,renal failure,Tier2_resolved_specific,kept specific label over generic Association
15114267,type 1 diabetes mellitus,Positive_Correlation,microvascular complications,Tier2_resolved_specific,kept specific label over generic Association
17510698,exercise,Positive_Correlation,muscle glucose clearance,Tier2_reviewed_both,"both facts valid, different sub-aspect"
17510698,prolonged moderate exercise,Negative_Correlation,glucose,Tier2_reviewed_both,"both facts valid, different sub-aspect"
17510698,sulfonylurea drugs,Positive_Correlation,plasma glucose decline rate,Tier2_reviewed_yuqi_preferred,yuefei version rejected after checking abstract
17510698,brief vigorous exercise,Positive_Correlation,plasma glucose,Tier2_reviewed_yuqi_preferred,yuefei version rejected after checking abstract
18064633,MIF,Positive_Correlation,IL-18,Tier2_resolved_specific,kept specific label over generic Association
18064633,MIF,Positive_Correlation,iNOS,Tier2_resolved_specific,kept specific label over generic Association
18221426,type 1 diabetes mellitus,Positive_Correlation,diabetic ketoacidosis,Tier2_resolved_specific,kept specific label over generic Association
18221426,type 1 diabetes mellitus,Positive_Correlation,polyuria,Tier2_resolved_specific,kept specific label over generic Association
18221426,type 1 diabetes mellitus,Positive_Correlation,polydipsia,Tier2_resolved_specific,kept specific label over generic Association
18221426,type 1 diabetes mellitus,Positive_Correlation,polyphagia,Tier2_resolved_specific,kept specific label over generic Association
18221426,type 1 diabetes mellitus,Positive_Correlation,weight loss,Tier2_resolved_specific,kept specific label over generic Association
18221426,long‑duration type 1 diabetes mellitus,Positive_Correlation,hypertension,Tier2_resolved_specific,kept specific label over generic Association
18221426,long‑duration type 1 diabetes mellitus,Positive_Correlation,diabetic nephropathy,Tier2_resolved_specific,kept specific label over generic Association
18221426,long‑duration type 1 diabetes mellitus,Positive_Correlation,diabetic neuropathy,Tier2_resolved_specific,kept specific label over generic Association
18221426,long‑duration type 1 diabetes mellitus,Positive_Correlation,diabetic retinopathy,Tier2_resolved_specific,kept specific label over generic Association
34128835,12-LOX,Positive_Correlation,beta cell loss,Tier2_reviewed_equivalent,logically equivalent phrasing (double negation)
34128835,depletion or inhibition of 12-LOX,Positive_Correlation,β cell mass,Tier2_reviewed_equivalent,logically equivalent phrasing (double negation)
14139995,plasma-protein transport,Association,hyperlability,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
14139995,hepatic tissue metabolism of insulin,Association,hyperlability,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
14139995,peripheral tissue metabolism of insulin,Association,hyperlability,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
14139995,dysfunction of plasma-protein transport,Association,brittle diabetes,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
14139995,hepatic and peripheral tissue metabolism of insulin,Association,brittle diabetes,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5355346,hypothyroidism,Negative_Correlation,production rate of HGH,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
5355346,hyperthyroidism,Positive_Correlation,production rate of HGH,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
5811682,insulin-dependent diabetes incidence,Positive_Correlation,Coxsackie virus type B4,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
5811682,Coxsackie virus type B4,Positive_Correlation,insulin-dependent diabetes,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5431658,juvenile diabetics,Positive_Correlation,fasting serum growth hormone,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5431658,exercise,Positive_Correlation,serum growth hormone,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5431658,exercise,Positive_Correlation,serum insulin,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5431658,fasting blood glucose level,Positive_Correlation,serum growth hormone,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
4143592,glucose,Positive_Correlation,insulin secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4143592,small-vessel disease,Negative_Correlation,insulin secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4143592,Tolbutamide,Negative_Correlation,insulin secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4143592,small-vessel disease,Association,juvenile diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4143592,glucose,Positive_Correlation,circulating insulin levels,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
4143592,small-vessel disease,Negative_Correlation,circulating insulin levels,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
5083884,diabetes mellitus,Positive_Correlation,glomerular filtration rate,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
5083884,proteinuria,Negative_Correlation,kidney function,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
5083884,long-term diabetics,Positive_Correlation,glomerular filtration rate,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
4729184,diabetes mellitus,Association,autoimmune hypothyroidism,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4729184,diabetes mellitus,Association,autoimmune disease,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4729184,insulin-independent diabetes mellitus,Association,autoimmune hypothyroidism,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4282831,diabetes mellitus,Association,retardation of growth,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4282831,diabetes mellitus,Association,complications,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4282831,chronic diseases,Association,retardation of growth,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
4371445,juvenile diabetes mellitus,Positive_Correlation,coxsackie B-3,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
4371445,coxsackie B-3,Positive_Correlation,juvenile diabetes mellitus,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,insulin-dependent diabetes mellitus,Positive_Correlation,hyperglycemia,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1158036,insulin-dependent diabetes mellitus,Negative_Correlation,renal glucose production,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1158036,insulin-dependent diabetes mellitus,Negative_Correlation,gluconeogenesis,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,glutamine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,glycine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,proline,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,citrulline,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,serine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,alanine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,cystine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,tyrosine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1158036,kidney,Association,threonine,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
1166797,systemic desensitization,Negative_Correlation,systemic allergic reaction,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
54584,diabetes mellitus,Positive_Correlation,diabetic ketoacidosis,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
54584,diabetes mellitus,Association,acute abdomen,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
331372,necrobiosis lipoidica diabeticorum,Association,lesions,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
331372,surgical excision,Cotreatment,ligation of the associated perforating blood vessels,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
331372,surgical excision,Cotreatment,split-skin grafts,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
331372,ligation of the associated perforating blood vessels,Cotreatment,split-skin grafts,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
334498,antibody formation,Association,HLA B8,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
334498,Islet-cell antibodies,Association,HLA B8,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
334498,Islet-cell antibodies,Association,endocrine-islet cells,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
353557,islet-cell-surface antibodies,Association,diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
353557,islet cells,Negative_Correlation,immunofluorescent reaction,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
676730,growth spurt,Positive_Correlation,daily dose of insulin,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,insulin-dependent diabetes,Positive_Correlation,endocrine abnormalities,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
395097,normoglycemia,Positive_Correlation,glucagon secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
395097,normoglycemia,Negative_Correlation,growth hormone secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
395097,normoglycemia,Negative_Correlation,cortisol secretion,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
395097,normoglycemia,Negative_Correlation,endocrine abnormalities,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
395097,artificial endocrine pancreas (Biostator-GCIIS),Comparison,subcutaneous insulin therapy,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,artificial endocrine pancreas (Biostator-GCIIS),Association,blood glucose normalization,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,blood glucose normalization,Association,glucagon secretion,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,blood glucose normalization,Negative_Correlation,Growth hormone secretion,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,blood glucose normalization,Negative_Correlation,Cortisol secretion,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,normoglycemia,Negative_Correlation,insulin-dependent diabetics,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,artificial endocrine pancreas (Biostator-GCIIS),Negative_Correlation,Growth hormone secretion,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
395097,artificial endocrine pancreas (Biostator-GCIIS),Negative_Correlation,Cortisol secretion,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
535578,diabetes mellitus,Positive_Correlation,impaired peripheral nerve function,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
535578,diabetes mellitus,Negative_Correlation,nerve conduction velocity,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7418963,HLA antigens,Association,insulin-dependent diabetes,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6751735,hemoglobin A1c,Negative_Correlation,severe symptomatic hypoglycemia,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6751735,diabetes mellitus,Association,symptomatic hypoglycemia,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6751735,hemoglobin A1c,Association,blood glucose control,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6751735,blood glucose control,Positive_Correlation,symptomatic hypoglycemia,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
7033091,verapamil,Positive_Correlation,glucose response to glucagon,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7033091,glucagon,Positive_Correlation,insulin release,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7033091,non insulin-dependent diabetes mellitus,Association,hepatic glucose handling,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7033091,glucagon,Cotreatment,verapamil,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
7033091,glucagon,Cotreatment,saline,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
7033091,verapamil,Comparison,saline,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
7033091,verapamil,Negative_Correlation,the glucose response in the patients with NIDDM,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
7033091,glucagon,Association,the glucose response in the patients with NIDDM,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6308982,metformin,Association,non-insulin-dependent diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7091092,transient neonatal diabetes mellitus,Conversion,type I insulin-dependent diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7091092,diabetic ketoacidosis,Positive_Correlation,diabetic coma,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
7091092,type I insulin-dependent diabetes mellitus,Association,insulin,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6634559,insulin-dependent diabetes,Positive_Correlation,haemostasis labilisation,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6634559,thrombophilia,Association,atherogenesis,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6634559,insulin dependent diabetes mellitus,Association,nocturnal hypoglycaemia,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6634559,nocturnal hypoglycaemia,Association,senile dementia,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6634559,Intramuscular,Cotreatment,intravenous routes produced,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6205922,insulin,Positive_Correlation,hypoglycemia,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
6205922,insulin,Negative_Correlation,Blood glucose,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6205922,insulin,Positive_Correlation,beta-thromboglobulin,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
6205922,platelet activation,Association,insulin,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2947878,Down's syndrome,Association,insulin-dependent diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
3945267,glucose,Positive_Correlation,nonenzymatic protein browning,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
3945267,collagen-linked fluorescence,Association,long-term metabolic control,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
3945267,collagen-linked fluorescence,Positive_Correlation,duration of diabetes,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
3945267,collagen-linked fluorescence,Association,browning,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2688138,short-acting insulin,Cotreatment,human ultratard insulin,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2789462,islet cell antibodies,Positive_Correlation,type I diabetes mellitus,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2789462,ICAs,Positive_Correlation,type I diabetes mellitus (DM),Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2789462,insulin binding,Association,type I diabetes mellitus (DM),Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2124448,diabetes,Association,diabetic dysautonomia,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2124448,diabetic dysautonomia,Association,arterial hypertension,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2124448,diabetic dysautonomia,Association,diabetic nephropathy,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2124448,diabetic dysautonomia,Negative_Correlation,nocturnal blood pressure decline,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2124448,arterial hypertension,Association,orthostatic hypotension,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2124448,arterial hypertension (AH),Association,central degenerative disorder,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2124448,arterial hypertension (AH),Association,diabetic dysautonomia,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
2203875,spaghetti,Association,glycaemic response,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2203875,NIDDM,Association,glycaemic response,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
2203875,IDDM,Association,glycaemic response,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,diabetes mellitus,Negative_Correlation,physical working capacity,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,diabetes mellitus,Positive_Correlation,myocardial perfusion disorder,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,diabetes mellitus,Negative_Correlation,myocardial reserve,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,diabetes mellitus,Negative_Correlation,cardiac oxygen supply,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,non-insulin-dependent diabetes mellitus,Association,transient ischemic perfusion defects,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,non-insulin-dependent diabetes mellitus,Negative_Correlation,maximum myocardial Tl uptake,Tier3_single_yuqi,only one annotator captured this; accepted pending spot-check
1788205,noninsulin dependent diabetes,Comparison,insulin dependent diabetes,Tier3_single_yuefei,only one annotator captured this; accepted pending spot-check
