pmid,pubmed_url,year,title,abstract,journal,keywords,mesh_terms,publication_types
4282831,https://pubmed.ncbi.nlm.nih.gov/4282831/,1974,Comparative study of growth in asthmatic children and other children with chronic disease to a control group.,"This study analysed the pathological factors significant for causing retardation of growth in different kinds of chronic diseases: asthma and other pulmonary chronic illness, rheumatic disease, diffuse collagen diseases, congenital heart disease and diabetes mellitus. All children were divided in two categories: the several and the mild cases depending on the degree of impairement of the main illness. All children have been analysed clinically, biochemically, immunologically, hormonally, and functionally; they were tested antropometrically, skeletal maturit stated, by means of special perforated cards for every illness with 49 dates and all data registered in specific ""pass-port"" for each child. We have a special organization for the chronic patients to assure regular control and to prevent complications. In each case professional orientation is carried out.",Allergie und Immunologie,,"Anthropometry; Asthma; Bronchiectasis; Child; Chronic Disease; Collagen Diseases; Diabetes Mellitus, Type 1; Growth Disorders; Heart Defects, Congenital; Humans; Punched-Card Systems; Respiratory Function Tests; Rheumatic Fever",Comparative Study; Journal Article
4371445,https://pubmed.ncbi.nlm.nih.gov/4371445/,1974,"An ""outbreak"" of juvenile diabetes mellitus: consideration of a viral etiology.","Huff. J. C., J. C. Hierholzer (Respiratory Virology Section, Center for Disease Control. Atlanta, Ga. 30333) and W. A. Farris. An “outbreak” of juvenile diabetes mellitus: consideration of a viral etiology. Am J Epidemiol 100:277–287. 1974.—Nine of twelve cases of juvenile diabetes mellitus, representing an unusual geographic and temporal cluster, were investigated for evidence that a specific viral infection might be etiologically related to their occurrence. Eight diabetics had experienced recent “viral-like” illnesses, predominantly repiratory, but these illnesses bore no uniform temporal relation to their onsets of diabetes. Diabetics demonstrated no serologic evidence of a recent viral illness common to all. Elevated titers to only one virus, coxsackie B-3, were more prevalent in diabetics than in controls (33% vs. 6%), but geometric mean titers of diabetics to a panel of 26 common viral antigens were similar to those of controls. These data neither support nor negate the hypothesis that infection with a specific virus precipitates juvenile diabetes mellitus.",American journal of epidemiology,,"Adolescent; Antibodies, Viral; Child; Child, Preschool; Complement Fixation Tests; Coronaviridae; Cytomegalovirus; Diabetes Mellitus, Type 1; Disease Outbreaks; Enterovirus; Female; Florida; Hemagglutination Inhibition Tests; Humans; Male; Neutralization Tests; Orthomyxoviridae; Pharynx; Rectum; Respiratory Tract Infections; Virus Diseases; Viruses",Journal Article
1158036,https://pubmed.ncbi.nlm.nih.gov/1158036/,1975,Renal substrate exchange in human diabetes mellitus.,"Renal substrate exchange was examined in five male patients with insulin-dependent diabetes mellitus of several years' duration. Insulin was withheld for twenty-four hours prior to the study. A renal vein was catheterized from the femoral vein, and PHA-clearance was employed for the determination of effective renal blood flow. None of the patients was in ketoacidosis, but all were moderately hyperglycemic in the fasting states (16.8 +/- 1.5 mmol/L.) (225-384 mg./100 ml.). Nevertheless, no net release of glucose from the kidney was detectable. Instead, there was a significant net renal uptake of glucose (320 +/- 80 mumol/min.). In addition, there was a significant net uptake of glycerol and a net release of pyruvate. Renal amino acid exchange was similar to that reported for healthy subjects: glutamine, glycine, proline, and citrulline were taken up and serine, alanine, cystine, tyrosine, and threonine were released by the kidney. It is concluded that (a) in nonketoacidotic diabetics there is no net production of glucose by the kidney; (b) renal amino acid exchange in diabetics is similar to that of healthy individuals; and (c) the kidney is not an important gluconeogenic organ in human diabetes.",Diabetes,,"Adult; Amino Acids; Blood Glucose; Diabetes Mellitus; Fatty Acids, Nonesterified; Gluconeogenesis; Glycerol; Humans; Hyperglycemia; Ketone Bodies; Kidney; Lactates; Male; Pyruvates; Regional Blood Flow","Journal Article; Research Support, U.S. Gov't, P.H.S."
1166797,https://pubmed.ncbi.nlm.nih.gov/1166797/,1975,Systemic allergic reaction to initial insulin therapy in a juvenile diabetic. Enhanced blast transformation to insulin.,"A 14-year-old girl with recent onset of diabetes developed a severe systemic allergic reaction to beef-pork insulin on the third day of insulin therapy. The same reaction developed following the injection of pork insulin and monocomponent insulin. The patient was induced to tolerate pork insulin by systemic desensitization to this insulin over an interval of 6 days. Peripheral blood lymphocytes from the patient cultured in the presence of insulin responded by increased blast cell transformation, as compared with controls, who either had previously presented local allergic reactions to insulin or never had manifested insulin allergy.",Acta paediatrica Scandinavica,,"Adolescent; Desensitization, Immunologic; Diabetes Mellitus, Type 1; Drug Hypersensitivity; Female; Humans; Insulin; Lymphocyte Activation; Lymphocytes",Case Reports; Journal Article
54584,https://pubmed.ncbi.nlm.nih.gov/54584/,1976,Acute diabetic abdomen in childhood.,"Three children presented as acute surgical emergencies due to undiagnosed diabetes mellitus. Where diabetic ketoacidosis mimicks the acute abdomen three clinical features are important in reaching the right diagnosis-namely, a history of polydipsia, polyuria, and anorexia preceding the abdominal pain, the deep sighing and rapid respirations, and severe dehydration.","Lancet (London, England)",,"Abdomen, Acute; Amylases; Appendicitis; Blood Glucose; Carbon Dioxide; Child; Child, Preschool; Diabetes Mellitus, Type 1; Diabetic Ketoacidosis; Diagnosis, Differential; Diagnostic Errors; Hemoglobins; Humans; Hydrogen-Ion Concentration; Leukocyte Count; Male; Oxygen; Potassium; Sodium; Urea",Case Reports; Journal Article
331372,https://pubmed.ncbi.nlm.nih.gov/331372/,1977,The surgical treatment of necrobiosis lipoidica diabeticorum.,"We review the literature on the surgical treatment of necrobiosis lipoidica diabeticorum, and we describe 7 cases treated at Stanford University Medical Center. Experiences with them prompt us to recommend surgical excision of the lesions down to the deep fascia, ligation of the associated perforating blood vessels, and the use of split-skin grafts to cover the defects. There were no recurrences when we did all these things.",Plastic and reconstructive surgery,,"Adolescent; Adult; Aged; Child; Child, Preschool; Diabetes Complications; Diabetes Mellitus, Type 1; Female; Follow-Up Studies; Humans; Infant; Infant, Newborn; Leg Dermatoses; Male; Middle Aged; Necrobiosis Lipoidica; Recurrence; Skin; Skin Transplantation",Case Reports; Journal Article
334498,https://pubmed.ncbi.nlm.nih.gov/334498/,1977,[Islet-cell antibodies in juvenile diabetes mellitus (author's transl)].,"Islet-cell antibodies were detected in 11 of the 67 patients with juvenile diabetes mellitus. These antibodies reacted with all endocrine-islet cells, although higher serum dilutions and different staining intensity of the various islet cells were noted. Antibody formation to islet antigens was found to be closely associated with HLA B8 (P = 0.03). However, there was no relationship between islet-cell antibody production and insulin antibody formation. The demonstration of pancreatic islet-cell antibodies, particularly in HLA B8-positive juvenile diabetics, constitutes further circumstantial evidence of a genetically determined auto-immune pathogenesis in some patients with juvenile diabetes mellitus.",Deutsche medizinische Wochenschrift (1946),,"Adolescent; Adult; Autoantibodies; Child; Child, Preschool; Diabetes Mellitus, Type 1; Histocompatibility Antigens; Humans; Immunoglobulin G; Insulin Antibodies; Islets of Langerhans",English Abstract; Journal Article
353557,https://pubmed.ncbi.nlm.nih.gov/353557/,1978,Islet-cell-surface antibodies in juvenile diabetes mellitus.,"Using an indirect immunofluorescence test on suspensions of viable, insulin-producing islet cells from rats, we found that 32 per cent (28/88) of insulin-treated patients with juvenile diabetes have islet-cell-surface antibodies in their circulation. These antibodies also occurred in four of nine children with glucose intolerance, in one of 24 healthy children and in nondiabetic children with thyroid disorders. In the diabetic children, the immunofluorescent reaction was inhibited by preadsorption of serum to islet cells but was little affected by preadsorption to rat hepatocytes or erythrocytes or to acetone powders of various rat tissues, including pancreas. These results show that organ-specific, nonspecies-specific antibodies reactive with the cell surface of the islet cells can be present in serum from diabetic children, and provide an approach to investigation of immunopathological aspects of diabetes mellitus.",The New England journal of medicine,,"Adolescent; Animals; Autoantibodies; Cell Membrane; Child; Child, Preschool; Diabetes Mellitus, Type 1; Fluorescent Antibody Technique; Humans; Infant; Insulin; Islets of Langerhans; Male; Microscopy, Electron, Scanning; Rats","Journal Article; Research Support, U.S. Gov't, P.H.S."
676730,https://pubmed.ncbi.nlm.nih.gov/676730/,1978,"Growth, body weight and insulin requirement in diabetic children.","The weight and height development of 51 boys and 48 girls who had developed diabetes prior to the age of 15 years was followed for a minimum of 3 years, mean 8.3 years, up to the age of 18 for the girls and 20 for the boys. In addition, the insulin requirements were recorded. Weight and height proved to be within the normal range, and height at onset of diabetes was normal. After a long duration of diabetes, however, there occurred a reduction of height increment of obout 1/2cm/year. This reduction was greater in children who rarely attended as compared with those who frequently attended a sub-specialized clinic. The daily dose of insulin increased with age, the greatest increase coinciding with the growth spurt. During the first 4 years of diabetes the 24-hour dose/kg body weight increased, indicating a decreasing endogenous insulin production. Later it was constant at around 0.9 i.u./kg. Modern management of diabetic children leads to normal adult stature.",Acta paediatrica Scandinavica,,"Adolescent; Body Height; Body Weight; Child; Child, Preschool; Diabetes Mellitus, Type 1; Female; Growth; Humans; Infant; Insulin; Male",Journal Article
395097,https://pubmed.ncbi.nlm.nih.gov/395097/,1979,"The effect of three days of blood glucose normalization by means of an ""artificial endocrine pancreas"" on the concentrations of growth hormone, glucagon, and cortisol in juvenile diabetics.","Glucagon, growth hormone, and cortisol secretion was studied in seven male insulin-dependent diabetics under conventional subcutaneous insulin therapy and after three days of blood glucose normalization attained by the artificial endocrine pancreas (Biostator-GCIIS). The diurnal hormonal profiles under the two types of therapy were compared. Six healthy male students served as control group. A three-day period of blood glucose normalization in insulin-dependent diabetic can restore glucagon secretion to normal. Growth hormone secretion is decreased but not completely normalised. Cortisol secretion is slightly decreased. It is concluded that prolonged normoglycemia achieved by means of an artificial endocrine pancreas may completely control endocrine abnormalities in insulin-dependent diabetics.",Hormone and metabolic research. Supplement series,,"Adult; Artificial Organs; Blood Glucose; Circadian Rhythm; Diabetes Mellitus, Type 1; Feedback; Glucagon; Growth Hormone; Humans; Hydrocortisone; Infusions, Parenteral; Insulin; Islets of Langerhans; Middle Aged",Journal Article
535578,https://pubmed.ncbi.nlm.nih.gov/535578/,1979,[The diabetic polyneuropathy. I. Relation between impaired function in peripheral nerves and clinical findings].,"789 patients with diabetes mellitus were studied by clinical and electroneurographical investigation. Motor and sensory conduction velocities of the median nerve and motor conduction velocity of the tibial nerve were determined. 86.1% of the patients suffered from juvenile diabetes, and 13.9% from maturity onset diabetes. Average duration of the disease was 9.5 years, average age of the patients was 26.7 years. Clinical signs of polyneuropathy were found in 19.1%. In 40.9% of the patients at least one of 3 conduction velocities was found to be delayed. Patients with clinical signs of polyneuropathy exhibited delayed nerve conduction velocities and delayed distal latencies. Diagnosis of polyneuropathy almost with certainty is possible by determining the three nerve conduction velocities and the three corresponding distal latencies. 22% of patients without clinical signs of polyneuropathy exhibited electroneurographical signs of impaired peripheral nerve function. Heredity, body weight, lipid metabolism, actual metabolic balance, and treatment were found to be without any significant influence on nerve conduction velocity.",Endokrinologie,,"Adult; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Neuropathies; Humans; Median Nerve; Neural Conduction; Tibial Nerve; Time Factors",English Abstract; Journal Article
7418963,https://pubmed.ncbi.nlm.nih.gov/7418963/,1980,HLA and insulin-dependent diabetes in South African negroes.,"The HLA antigens of 57 South African negroes with juvenile-onset, insulin-dependent diabetes were determined. The frequency of B8 was increased (29.8% VS 13.9%) as was the frequency of B14 (17.5% vs 6.1%). The frequency of patients with either one of these cross-reactive antigens was significantly increased after correction for the number of antigens tested (45.6% VS 19.2%, P (corrected) < 0.005).",Diabetologia,,"Adult; Black People; Cross Reactions; Diabetes Mellitus, Type 1; HLA Antigens; Humans; South Africa","Journal Article; Research Support, Non-U.S. Gov't"
6751735,https://pubmed.ncbi.nlm.nih.gov/6751735/,1981,A prospective study of symptomatic hypoglycemia in young diabetic patients.,"The frequency of symptomatic hypoglycemia was determined prospectively over an 18-mo period in 147 children and adolescents with diabetes mellitus. All patients were treated with two daily injections of insulin. The data were analyzed to determine the relationship between episodes of symptomatic hypoglycemia and blood glucose control as assessed by hemoglobin A1c measurements. There were 542 patient visits during the study period. During each clinic visit, patients were separated into one of four hypoglycemic categories based on the medical history since the preceding visit. These categories were: no reactions, mild to occasional reactions, mild to frequent reactions, and severe reactions. Reactions were considered severe if they were characterized by altered central nervous system function or prolonged sympathetic nervous system symptoms. Forty-seven percent of the patients reported at least one reaction during the 18-mo study period, but only 4% (i.e., 6 out of 147 patients) reported severe reactions. The mean hemoglobin A1c level was significantly lower in patients who reported reactions than in patients who did not report reactions [hemoglobin A1c values (x +/- SEM) = 7.78 +/- 0.1% vs. 9.48 +/- 0.1%, respectively; P less than 0.001]. The severity of hypoglycemia was inversely related to the degree of altered blood glucose control; episodes of frequent or severe symptomatic hypoglycemia occurred almost exclusively in patients with well-controlled diabetes as reflected in their near-normal hemoglobin A1c levels. There were no significant differences in mean insulin dose/kg, age, or duration of diabetes comparing patients in the four hypoglycemic categories. The results indicate that the hemoglobin A1c level can be a useful clinical guide to identify patients who are most likely to develop serious symptomatic hypoglycemia.",Diabetes care,,"Adolescent; Child; Diabetes Mellitus, Type 1; Female; Glycated Hemoglobin; Humans; Hypoglycemia; Insulin; Male; Prospective Studies","Journal Article; Research Support, U.S. Gov't, P.H.S."
7033091,https://pubmed.ncbi.nlm.nih.gov/7033091/,1981,Calcium-antagonistic effects on glucose response to glucagon in patients with non insulin-dependent diabetes mellitus and in normoglycemic subjects.,"The current study was performed in order to investigate whether verapamil would affect the glucose response to glucagon differently in patients with non insulin-dependent diabetes mellitus (NIDDM) compared with age-matched normoglycemic controls. For that purpose glucagon was injected intravenously on a background infusion of verapamil, and for comparison also on a background infusion of saline in these two groups. Verapamil was found to blunt the glucose response to glucagon in the patients with NIDDM, whereas it augmented the glucose response to glucagon in the controls. This discrepancy could not be explained on the basis of verapamil-induced changes in the release of insulin, since verapamil did not effect the serum responses to glucagon. However, it could reflect the differences in hepatic handling of glucose, which has been shown to prevail in patients with NIDDM compared with healthy controls.",Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,,Aged; Blood Glucose; Calcium; Diabetes Mellitus; Female; Glucagon; Humans; Insulin; Kinetics; Male; Verapamil,Journal Article
6308982,https://pubmed.ncbi.nlm.nih.gov/6308982/,1982,Serum metformin levels in Nigerians with non-insulin-dependent diabetes mellitus.,'Steady state' serum concentrations of metformin have been measured in sixteen Nigerians with non-insulin-dependent diabetes mellitus. There was a thirty-eight-fold variation in the serum levels (50-1886 ng/ml). The mean serum level of metformin was 512 +/- 485.2 ng/ml. This compared favourably with the mean levels (382.3 +/- 76.9 ng/ml) obtained in a similar study in Italians. The observed levels however fell far short of those expected in patients on 1-5 g metformin daily. The role of poor bioavailability vis-à-vis poor patient compliance deserves further detailed pharmacokinetic study.,African journal of medicine and medical sciences,,Adult; Aged; Diabetes Mellitus; Female; Humans; Male; Metformin; Middle Aged; Nigeria,Journal Article
7091092,https://pubmed.ncbi.nlm.nih.gov/7091092/,1982,Transient neonatal diabetes mellitus in half sisters. A sequel.,"This is a sequel to a previous report of two half sisters with transient neonatal diabetes mellitus. In 1970, the same syndrome developed in a third half sibling, a boy, born of the same father by his third wife. It followed essentially the same neonatal clinical course as that of his two half sisters. The firstborn sibling, aged 19 years, is reported to be free of signs and symptoms of diabetes; the third born was clinically well with no glycosuria at 9 years 3 months of age, and was reported to be in good health at 11 years of age. In 1978, at age 15 years diabetic ketoacidosis and coma developed in the second-born sister and she has had insulin-dependent diabetes since that time. These cases present a unique genetic pattern and, to our knowledge, there have been no reports of cases of transient neonatal diabetes becoming full-blown type I insulin-dependent diabetes mellitus later in life.",American journal of diseases of children (1960),,"Adolescent; Diabetes Mellitus; Female; Humans; Infant, Newborn; Infant, Newborn, Diseases; Male",Case Reports; Journal Article
6357915,https://pubmed.ncbi.nlm.nih.gov/6357915/,1983,Glucose utilization in Type 1 (insulin-dependent) diabetes: Evidence for a defect not reversible by acute elevations of insulin.,"It has long been assumed that replacement of insulin in insulin-deficient diabetic patients will normalise glucose utilization. In this study, glucose utilization was measured in nine long-standing, poorly controlled diabetic patients and five control subjects, matched for age (33 +/- 3 versus 33 +/- 2 years) and ponderal index (22.9 +/- 1.3 versus 21.7 +/- 1.0). Glucose uptake was measured during steady state insulinaemia in the diabetic patients and control subjects, at euglycaemia (5.5 +/- 0.5 versus 5.4 +/- 0.3 mmol/l, respectively) and moderate hyperglycaemia (11.8 +/- 0.9 versus 10.2 +/- 0.7 mmol/l, respectively). At euglycaemia with similar free insulin levels (50 +/- 19 versus 43 +/- 9 mU/l; p greater than 0.6), the diabetic patients utilized less glucose than the control subjects (27.8 +/- 4.2 versus 56.4 +/- 5.7 mumol.kg-1.min-1;.p less than 0.005). During hyperglycaemia, the diabetic patients utilized almost as much glucose as the control subjects did at euglycaemia (49.9 +/- 6.4 versus 56.4 +/- 5.7 mumol.kg-1.min-1, respectively). In the control subjects, a 1-mmol/l rise in glucose concentration (with insulin remaining constant) resulted in a 12.3 +/- 1.3 mumol.kg-1.min-1 rise in glucose utilization. In contrast, in the diabetic patients, a 1-mmol/l rise in blood glucose resulted in a rise in glucose utilization of only 3.8 +/- 0.8 mumol.kg-1.min-1 (p less than 0.001), in the presence of similar concentrations of plasma insulin. This defect of glucose utilization in Type1 diabetic patients could not be reversed by acutely raising insulin to 247 +/- 23 mU/l.(ABSTRACT TRUNCATED AT 250 WORDS)",Diabetologia,,"Adult; Blood Glucose; C-Peptide; Diabetes Mellitus, Type 1; Female; Glucose; Humans; Insulin; Insulin Resistance; Male; Middle Aged","Journal Article; Research Support, Non-U.S. Gov't"
